SCRIP,NAME,SECTOR
539278,Symbiox Investment &amp; Trading Co Ltd.,Trading
539143,Panth Infinity Ltd.,Trading
539574,Sunshine Capital Ltd.,Finance - NBFC
538597,TTI Enterprise Ltd.,Finance - NBFC
540097,Visco Trade Associates Ltd.,Finance - NBFC
536710,SRG Securities Finance Ltd.,Finance - NBFC
538451,Worth Investment &amp; Trading Co Ltd.,Finance - NBFC
536672,VCU Data Management Ltd.,IT - Software
536738,Stellar Capital Services Ltd.,Finance - NBFC
540550,Yug Decor Ltd.,Chemicals
536659,PVV Infra Ltd.,Construction - Real Estate
GUJGASLTD,Gujarat Gas Ltd.,Gas Transmission-Marketing
536846,Yuranus Infrastructure Ltd.,Construction - Real Estate
538942,Mercantile Ventures Ltd.,Finance - NBFC
537069,Arnold Holdings Ltd.,Finance - NBFC
537259,Suyog Telematics Ltd.,Miscellaneous
537254,RCI Industries &amp; Technologies Ltd.,Metal - Non Ferrous
537326,Chemtech Industrial Valves Ltd.,Trading
537492,Agrimony Commodities Ltd.,Trading
APTUS,Aptus Value Housing Finance India Ltd.,Finance - Housing
537573,Polymac Thermoformers Ltd.,Plastic Products
540063,ECS Biztech Ltd.,IT - Hardware
GRINFRA,GR Infraprojects Ltd.,Engineering - Construction
POWERMECH,Power Mech Projects Ltd.,Engineering - Construction
PRECAM,Precision Camshafts Ltd.,Auto Ancillary
SANGINITA,Sanginita Chemicals Ltd.,Chemicals
ZOMATO,Zomato Ltd.,e-Commerce
537582,Unishire Urban Infra Ltd.,Construction - Real Estate
537669,Laxmipati Engineering Works Ltd.,Ship Building
537524,Viaan Industries Ltd.,Trading
BCP,B.C. Power Controls Ltd.,Metal - Non Ferrous
537785,Race Eco Chain Ltd.,Trading
538019,Oceanaa Biotek Industries Ltd.,Aquaculture
538119,R&amp;B Denims Ltd.,Textile
537839,Phoenix Township Ltd.,Hotel
538081,Haria Apparels Ltd.,Miscellaneous
GENUSPAPER,Genus Paper &amp; Boards Ltd.,Paper &amp; Paper Products
538952,Abhinav Leasing &amp; Finance Ltd.,Finance - NBFC
POLICYBZR,PB Fintech Ltd.,e-Commerce
539552,F Mec International Financial Services Ltd.,Finance - NBFC
538881,Galada Finance Ltd.,Finance - NBFC
540134,Ishaan Infrastructures &amp; Shelters Ltd.,Construction - Real Estate
JITFINFRA,JITF Infralogistics Ltd.,Logistics
539562,Aarnav Fashions Ltd.,Finance - Investment
539841,Lancer Containers Lines Ltd.,Logistics
538707,Rajasthan Cylinders &amp; Containers Ltd.,Industrial  Gases &amp; Fuels
543065,SM Auto Stamping Ltd.,Auto Ancillary
538402,SPS Finquest Ltd.,Finance - NBFC
WINDLAS,Windlas Biotech Ltd.,Pharmaceuticals &amp; Drugs
538970,Wardwizard Innovations &amp; Mobility Ltd.,Engineering - Construction
MONTECARLO,Monte Carlo Fashions Ltd.,Textile
539217,Srestha Finvest Ltd.,Finance - Investment
538926,Naturite Agro Products Ltd.,Agriculture
539922,Rotographics (India) Ltd.,Trading
TEGA,Tega Industries Ltd.,Engineering - Industrial Equipments
539468,Typhoon Financial Services Ltd.,Finance - NBFC
538180,Gold Line International Finvest Ltd.,Finance Term Lending
538212,Sharp Investments Ltd.,Finance - Investment
538319,GCM Capital Advisors Ltd.,Finance - Investment
ASLIND,ASL Industries Ltd.,Auto Ancillary
538446,Moneyboxx Finance Ltd.,Finance - NBFC
538351,AF Enterprises Ltd.,Finance - Investment
538496,Tarini International Ltd.,Engineering
538423,Alps Motor Finance Ltd.,Finance - NBFC
IMAGICAA,Imagicaaworld Entertainment Ltd.,Amusement Parks-Recreation-Club
538432,Divinus Fabrics Ltd.,Trading
PDSMFL,PDS Multinational Fashions Ltd.,Textile
538452,Quasar India Ltd.,Trading
538465,Amarnath Securities Ltd.,Finance - Investment
538546,Bansal Roofing Products Ltd.,Engineering
538537,Omansh Enterprises Ltd.,Trading
538540,Ramchandra Leasing &amp; Finance Ltd.,Finance - NBFC
538541,Inceptum Enterprises Ltd.,Trading
538556,Arman Holdings Ltd.,Trading
538557,Sai Baba Investment And Commercial Enterprises Ltd.,Finance - Investment
539546,Beekay Niryat Ltd.,Trading
QUESS,Quess Corp Ltd.,Miscellaneous
SHYAMMETL,Shyam Metalics And Energy Ltd.,Steel &amp; Iron Products
538579,Trivikrama Industries Ltd.,Chemicals
538564,James Warren Tea Ltd.,Tea-Coffee
538565,Vistar Amar Ltd.,Finance - NBFC
538566,Apollo Tricoat Tubes Ltd.,Steel &amp; Iron Products
VISHAL,Vishal Fabrics Ltd.,Textile
GULFOILLUB,Gulf Oil Lubricants India Ltd.,Lubricants
538569,Triveni Enterprises Ltd.,Trading
538568,Fruition Venture Ltd.,Finance - Stock Broking
AAVAS,Aavas Financiers Ltd.,Finance - Housing
538575,Solis Marketing Ltd.,Trading
542206,Nivaka Fashions Ltd.,Trading
540310,Classic Filaments Ltd.,Textile
542332,Hi-Klass Trading And Investment Ltd.,Finance - Investment
539449,IGC Industries Ltd.,Trading
539938,Medico Intercontinental Ltd.,Finance - Investment
UNIVPHOTO,Universus Photo Imagings Ltd.,Miscellaneous
539408,Kuber Udyog Ltd.,Finance - NBFC
LTTS,L&amp;T Technology Services Ltd.,Engineering
MANAKALUCO,Manaksia Aluminium Company Ltd.,Aluminium &amp; Aluminium Products
MANAKCOAT,Manaksia Coated Metals &amp; Industries Ltd.,Steel &amp; Iron Products
MANAKSTEEL,Manaksia Steels Ltd.,Steel &amp; Iron Products
538834,Meenakshi Enterprises Ltd.,Finance - NBFC
539525,Navketan Merchants Ltd.,Trading
540159,Purple Entertainment Ltd.,Film Production
542667,White Organic Retail Ltd.,Retailing
542146,Shree Krishna Infrastructure Ltd.,Construction - Real Estate
SIMBHALS,Simbhaoli Sugars Ltd.,Sugar
TIINDIA,Tube Investments of India Ltd.,Cycles
MILTON,Milton Industries Ltd.,Laminates-Decoratives
540082,Riddhi Steel &amp; Tube Ltd.,Steel &amp; Iron Products
538609,Gajanan Securities Services Ltd.,Finance - Stock Broking
538833,Anubhav Infrastructure Ltd.,Engineering - Construction
540027,Prabhat Technologies (India) Ltd.,Telecommunication - Equipment
539096,Aananda Lakshmi Spinning Mills Ltd.,Textile - Spinning
539111,Sheshadri Industries Ltd.,Textile - Spinning
